CODE,DESCRIPTION
A0101,TYPHOID MENINGITIS
A044,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS
A046,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA
A049,"BACTERIAL INTESTINAL INFECTION, UNSPECIFIED"
A0811,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT
A09,"INFECTIOUS GASTROENTERITIS AND COLITIS, UNSPECIFIED"
A3689,OTHER DIPHTHERITIC COMPLICATIONS
A4189,OTHER SPECIFIED SEPSIS
A481,LEGIONNAIRES' DISEASE
A483,TOXIC SHOCK SYNDROME
A5217,GENERAL PARESIS
A563,CHLAMYDIAL INFECTION OF ANUS AND RECTUM
A630,ANOGENITAL (VENEREAL) WARTS
A759,"TYPHUS FEVER, UNSPECIFIED"
A7740,"EHRLICHIOSIS, UNSPECIFIED"
A7982,ANAPLASMOSIS [A. PHAGOCYTOPHILUM]
A89,UNSPECIFIED VIRAL INFECTION OF CENTRAL NERVOUS SYSTEM
B0230,"ZOSTER OCULAR DISEASE, UNSPECIFIED"
B070,PLANTAR WART
B081,MOLLUSCUM CONTAGIOSUM
B159,HEPATITIS A WITHOUT HEPATIC COMA
B353,TINEA PEDIS
B360,PITYRIASIS VERSICOLOR
B391,CHRONIC PULMONARY HISTOPLASMOSIS CAPSULATI
B451,CEREBRAL CRYPTOCOCCOSIS
B59,PNEUMOCYSTOSIS
B690,CYSTICERCOSIS OF CENTRAL NERVOUS SYSTEM
B950,"STREPTOCOCCUS, GROUP A, CAUSING DISEASES CLASSD ELSWHR"
B951,"STREPTOCOCCUS, GROUP B, CAUSING DISEASES CLASSD ELSWHR"
B954,OTH STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR
B966,BACTEROIDES FRAGILIS AS THE CAUSE OF DISEASES CLASSD ELSWHR
C069,"MALIGNANT NEOPLASM OF MOUTH, UNSPECIFIED"
C159,"MALIGNANT NEOPLASM OF ESOPHAGUS, UNSPECIFIED"
C188,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF COLON
C211,MALIGNANT NEOPLASM OF ANAL CANAL
C220,LIVER CELL CARCINOMA
C228,"MALIGNANT NEOPLASM OF LIVER, PRIMARY, UNSPECIFIED AS TO TYPE"
C311,MALIGNANT NEOPLASM OF ETHMOIDAL SINUS
C3490,MALIGNANT NEOPLASM OF UNSP PART OF UNSP BRONCHUS OR LUNG
C3492,MALIGNANT NEOPLASM OF UNSP PART OF LEFT BRONCHUS OR LUNG
C4322,MALIGNANT MELANOMA OF LEFT EAR AND EXTERNAL AURICULAR CANAL
C4339,MALIGNANT MELANOMA OF OTHER PARTS OF FACE
C4440,UNSPECIFIED MALIGNANT NEOPLASM OF SKIN OF SCALP AND NECK
C4470,"UNSP MALIGNANT NEOPLASM OF SKIN OF LOWER LIMB, INCLUDING HIP"
C4499,"OTHER SPECIFIED MALIGNANT NEOPLASM OF SKIN, UNSPECIFIED"
C460,KAPOSI'S SARCOMA OF SKIN
C4911,"MALIG NEOPLM OF CONN AND SOFT TISS OF R UPR LIMB, INC SHLDR"
C495,MALIGNANT NEOPLASM OF CONNECTIVE AND SOFT TISSUE OF PELVIS
C4A61,"MERKEL CELL CARCINOMA OF RIGHT UPPER LIMB, INC SHOULDER"
C5031,"MALIGNANT NEOPLASM OF LOWER-INNER QUADRANT OF BREAST, FEMALE"
C5051,"MALIGNANT NEOPLASM OF LOWER-OUTER QUADRANT OF BREAST, FEMALE"
C548,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF CORPUS UTERI
C5700,MALIGNANT NEOPLASM OF UNSPECIFIED FALLOPIAN TUBE
C5701,MALIGNANT NEOPLASM OF RIGHT FALLOPIAN TUBE
C574,"MALIGNANT NEOPLASM OF UTERINE ADNEXA, UNSPECIFIED"
C659,MALIGNANT NEOPLASM OF UNSPECIFIED RENAL PELVIS
C713,MALIGNANT NEOPLASM OF PARIETAL LOBE
C715,MALIGNANT NEOPLASM OF CEREBRAL VENTRICLE
C772,SECONDARY AND UNSP MALIGNANT NEOPLASM OF INTRA-ABD NODES
C7889,SECONDARY MALIGNANT NEOPLASM OF OTHER DIGESTIVE ORGANS
C7902,SECONDARY MALIGNANT NEOPLASM OF LEFT KIDNEY AND RENAL PELVIS
C7911,SECONDARY MALIGNANT NEOPLASM OF BLADDER
C7972,SECONDARY MALIGNANT NEOPLASM OF LEFT ADRENAL GLAND
C7B02,SECONDARY CARCINOID TUMORS OF LIVER
C7B09,SECONDARY CARCINOID TUMORS OF OTHER SITES
C800,"DISSEMINATED MALIGNANT NEOPLASM, UNSPECIFIED"
C8120,"MIXED CELLULARITY HODGKIN LYMPHOMA, UNSPECIFIED SITE"
C8192,"HODGKIN LYMPHOMA, UNSPECIFIED, INTRATHORACIC LYMPH NODES"
C8211,"FOLLICULAR LYMPHOMA GRADE II, NODES OF HEAD, FACE, AND NECK"
C8296,"FOLLICULAR LYMPHOMA, UNSPECIFIED, INTRAPELVIC LYMPH NODES"
C8382,"OTHER NON-FOLLICULAR LYMPHOMA, INTRATHORACIC LYMPH NODES"
C8389,"OTH NON-FOLLIC LYMPHOMA, EXTRANODAL AND SOLID ORGAN SITES"
C8400,"MYCOSIS FUNGOIDES, UNSPECIFIED SITE"
C8515,"UNSP B-CELL LYMPHOMA, NODES OF ING REGION AND LOWER LIMB"
C8585,"OTH TYPES OF NON-HODG LYMPH, NODES OF ING RGN AND LOWER LIMB"
C9141,"HAIRY CELL LEUKEMIA, IN REMISSION"
C9142,"HAIRY CELL LEUKEMIA, IN RELAPSE"
C9191,"LYMPHOID LEUKEMIA, UNSPECIFIED, IN REMISSION"
C9240,"ACUTE PROMYELOCYTIC LEUKEMIA, NOT HAVING ACHIEVED REMISSION"
C9251,"ACUTE MYELOMONOCYTIC LEUKEMIA, IN REMISSION"
C92Z0,OTHER MYELOID LEUKEMIA NOT HAVING ACHIEVED REMISSION
C9592,"LEUKEMIA, UNSPECIFIED, IN RELAPSE"
D001,CARCINOMA IN SITU OF ESOPHAGUS
D017,CARCINOMA IN SITU OF OTHER SPECIFIED DIGESTIVE ORGANS
D0339,MELANOMA IN SITU OF OTHER PARTS OF FACE
D0361,"MELANOMA IN SITU OF RIGHT UPPER LIMB, INCLUDING SHOULDER"
D060,CARCINOMA IN SITU OF ENDOCERVIX
D074,CARCINOMA IN SITU OF PENIS
D107,BENIGN NEOPLASM OF HYPOPHARYNX
D117,BENIGN NEOPLASM OF OTHER MAJOR SALIVARY GLANDS
D121,BENIGN NEOPLASM OF APPENDIX
D1430,BENIGN NEOPLASM OF UNSPECIFIED BRONCHUS AND LUNG
D151,BENIGN NEOPLASM OF HEART
D167,"BENIGN NEOPLASM OF RIBS, STERNUM AND CLAVICLE"
D168,"BENIGN NEOPLASM OF PELVIC BONES, SACRUM AND COCCYX"
D1771,BENIGN LIPOMATOUS NEOPLASM OF KIDNEY
D191,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF PERITONEUM
D2111,"BEN NEOPLM OF CONNCTV/SOFT TISS OF R UPPER LIMB, INC SHLDR"
D2311,"OTH BENIGN NEOPLASM SKIN/ RIGHT EYELID, INCLUDING CANTHUS"
D279,BENIGN NEOPLASM OF UNSPECIFIED OVARY
D287,BENIGN NEOPLASM OF OTHER SPECIFIED FEMALE GENITAL ORGANS
D2921,BENIGN NEOPLASM OF RIGHT TESTIS
D294,BENIGN NEOPLASM OF SCROTUM
D309,"BENIGN NEOPLASM OF URINARY ORGAN, UNSPECIFIED"
D3131,BENIGN NEOPLASM OF RIGHT CHOROID
D369,"BENIGN NEOPLASM, UNSPECIFIED SITE"
D375,NEOPLASM OF UNCERTAIN BEHAVIOR OF RECTUM
D379,"NEOPLASM OF UNCERTAIN BEHAVIOR OF DIGESTIVE ORGAN, UNSP"
D3A8,OTHER BENIGN NEUROENDOCRINE TUMORS
D421,NEOPLASM OF UNCERTAIN BEHAVIOR OF SPINAL MENINGES
D487,NEOPLASM OF UNCERTAIN BEHAVIOR OF OTHER SPECIFIED SITES
D494,NEOPLASM OF UNSPECIFIED BEHAVIOR OF BLADDER
D499,NEOPLASM OF UNSPECIFIED BEHAVIOR OF UNSPECIFIED SITE
D509,"IRON DEFICIENCY ANEMIA, UNSPECIFIED"
D512,TRANSCOBALAMIN II DEFICIENCY
D528,OTHER FOLATE DEFICIENCY ANEMIAS
D530,PROTEIN DEFICIENCY ANEMIA
D5700,"HB-SS DISEASE WITH CRISIS, UNSPECIFIED"
D5721,SICKLE-CELL/HB-C DISEASE WITH CRISIS
D582,OTHER HEMOGLOBINOPATHIES
D638,ANEMIA IN OTHER CHRONIC DISEASES CLASSIFIED ELSEWHERE
D66,HEREDITARY FACTOR VIII DEFICIENCY
D67,HEREDITARY FACTOR IX DEFICIENCY
D6800,"VON WILLEBRAND DISEASE, UNSPECIFIED"
D6851,ACTIVATED PROTEIN C RESISTANCE
D7218,EOSINOPHILIA IN DISEASES CLASSIFIED ELSEWHERE
D7381,NEUTROPENIC SPLENOMEGALY
D7582,HEPARIN INDUCED THROMBOCYTOPENIA (HIT)
D804,SELECTIVE DEFICIENCY OF IMMUNOGLOBULIN M [IGM]
D829,"IMMUNODEFICIENCY ASSOCIATED WITH MAJOR DEFECT, UNSPECIFIED"
E010,IODINE-DEFICIENCY RELATED DIFFUSE (ENDEMIC) GOITER
E063,AUTOIMMUNE THYROIDITIS
E0801,DIABETES DUE TO UNDERLYING CONDITION W HYPROSM W COMA
E0832,DIABETES DUE TO UNDRL COND W MILD NONPRLF DIABETIC RTNOP
E0861,DIABETES DUE TO UNDERLYING CONDITION W DIABETIC ARTHROPATHY
E1022,TYPE 1 DIABETES MELLITUS W DIABETIC CHRONIC KIDNEY DISEASE
E1039,TYPE 1 DIABETES W OTH DIABETIC OPHTHALMIC COMPLICATION
E1042,TYPE 1 DIABETES MELLITUS WITH DIABETIC POLYNEUROPATHY
E1131,TYPE 2 DIABETES MELLITUS WITH UNSP DIABETIC RETINOPATHY
E1139,TYPE 2 DIABETES W OTH DIABETIC OPHTHALMIC COMPLICATION
E1141,TYPE 2 DIABETES MELLITUS WITH DIABETIC MONONEUROPATHY
E1161,TYPE 2 DIABETES MELLITUS WITH DIABETIC ARTHROPATHY
E1165,TYPE 2 DIABETES MELLITUS WITH HYPERGLYCEMIA
E200,IDIOPATHIC HYPOPARATHYROIDISM
E215,"DISORDER OF PARATHYROID GLAND, UNSPECIFIED"
E2831,PREMATURE MENOPAUSE
E291,TESTICULAR HYPOFUNCTION
E342,"ECTOPIC HORMONE SECRETION, NOT ELSEWHERE CLASSIFIED"
E614,CHROMIUM DEFICIENCY
E669,"OBESITY, UNSPECIFIED"
E7119,OTHER DISORDERS OF BRANCHED-CHAIN AMINO-ACID METABOLISM
E7131,DISORDERS OF FATTY-ACID OXIDATION
E7212,METHYLENETETRAHYDROFOLATE REDUCTASE DEFICIENCY
E7410,"DISORDER OF FRUCTOSE METABOLISM, UNSPECIFIED"
E8349,OTHER DISORDERS OF MAGNESIUM METABOLISM
E8582,WILD-TYPE TRANSTHYRETIN-RELATED (ATTR) AMYLOIDOSIS
E872,ACIDOSIS
E8771,TRANSFUSION ASSOCIATED CIRCULATORY OVERLOAD
F01C2,"VASCULAR DEMENTIA, SEVERE, WITH PSYCHOTIC DISTURBANCE"
F01C4,"VASCULAR DEMENTIA, SEVERE, WITH ANXIETY"
F02B4,"DEM IN OTHER DISEASES CLASSD ELSWHR, MODERATE, WITH ANXIETY"
F03A2,"UNSPECIFIED DEMENTIA, MILD, WITH PSYCHOTIC DISTURBANCE"
F0670,MILD NEUROCOG DISORD D/T KNOWN PHYSIOL COND W/O BEH DISTRB
F1022,ALCOHOL DEPENDENCE WITH INTOXICATION
F1119,OPIOID ABUSE WITH UNSPECIFIED OPIOID-INDUCED DISORDER
F1194,"OPIOID USE, UNSPECIFIED WITH OPIOID-INDUCED MOOD DISORDER"
F1213,CANNABIS ABUSE WITH WITHDRAWAL
F1221,"CANNABIS DEPENDENCE, IN REMISSION"
F1295,"CANNABIS USE, UNSPECIFIED WITH PSYCHOTIC DISORDER"
F1323,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC DEPENDENCE WITH WITHDRAWAL"
